START_CAPTURE
# duration_s: 60
# internal_rate_hz: 500
# output_rate_hz: 100
# filter1: 1-pole IIR alpha=0.715 (~100Hz cutoff)
# filter2: 2-pole Butterworth 10Hz Fs=500Hz
# filter3: 2-pole Butterworth 15Hz Fs=500Hz
time_us,raw,filtered_200hz,filtered_10hz,filtered_15hz
8789,8268,8271,895,1820
18554,7868,7931,3081,5228
28320,7596,7599,5211,7366
38086,7192,7243,6694,8043
48828,7004,6986,7451,7888
58593,6572,6632,7646,7469
68359,6360,6378,7468,7004
78125,6508,6556,7148,6694
88867,6236,6216,6848,6551
98632,5844,5889,6557,6377
108398,5724,5771,6297,6194
118164,5692,5741,6075,6016
128906,5528,5534,5890,5857
138671,5356,5400,5727,5705
148437,5540,5528,5599,5597
158203,5344,5393,5512,5539
168945,5452,5499,5469,5533
178711,5692,5643,5482,5590
188476,5812,5799,5537,5681
198242,5892,5877,5643,5828
208007,5904,5931,5755,5937
218750,6132,6165,5866,6036
228515,6252,6236,5983,6151
238281,6360,6350,6092,6250
248046,6092,6172,6192,6338
258789,6032,6073,6249,6356
268554,6200,6128,6253,6309
278320,5912,5935,6223,6248
288086,5880,5902,6157,6154
298828,5632,5644,6066,6047
308593,5472,5526,5932,5881
318359,5340,5382,5793,5743
328125,5432,5444,5668,5637
338867,5416,5380,5577,5585
348632,5268,5251,5491,5508
358398,5152,5156,5398,5404
368164,5024,5036,5305,5302
378906,5120,5140,5220,5224
388671,5192,5153,5159,5183
398437,4964,5020,5119,5164
408203,4768,4857,5090,5145
418945,4996,4977,5045,5080
428711,5048,5021,5005,5038
438476,4928,4949,4980,5024
448242,4828,4801,4948,4985
458007,4740,4807,4912,4948
468750,4852,4887,4898,4951
478515,4972,4944,4893,4956
488281,5196,5147,4897,4969
498046,5076,5077,4936,5039
508789,5152,5143,4992,5110
518554,5060,5082,5035,5141
528320,4900,4924,5068,5155
538086,5124,5080,5056,5099
548828,4864,4861,5034,5062
558593,5036,5046,5001,5024
568359,4836,4896,4994,5046
578125,5256,5231,4993,5061
588867,5532,5553,5079,5232
598632,6596,6516,5294,5577
608398,7556,7471,5731,6230
618164,8200,8198,6384,7088
628906,9120,9073,7155,7957
638671,9464,9465,7969,8774
648437,10020,10005,8699,9389
658203,10108,10003,9313,9857
668945,9768,9835,9741,10101
678711,9572,9584,9950,10105
688476,9428,9394,9952,9931
698242,8996,9007,9799,9664
708007,8608,8643,9525,9318
718750,8152,8178,9164,8913
728515,7684,7735,8757,8495
738281,7480,7474,8327,8070
748046,7000,7029,7922,7703
758789,6936,6942,7548,7372
768554,6740,6760,7241,7128
778320,6624,6552,6983,6911
788086,6392,6385,6760,6713
798828,6456,6392,6577,6552
808593,6160,6095,6425,6417
818359,5704,5745,6261,6231
828125,5624,5656,6086,6033
838867,5600,5599,5917,5861
848632,5340,5371,5773,5738
858398,5624,5583,5632,5603
868164,5436,5457,5547,5567
878906,5508,5524,5504,5568
888671,5744,5776,5508,5613
898437,5776,5779,5585,5750
908203,6224,6176,5703,5905
918945,6220,6201,5857,6079
928711,6136,6134,6002,6205
938476,6396,6405,6123,6295
948242,6208,6200,6230,6378
958007,6376,6352,6302,6419
968750,5996,6080,6345,6436
978515,6192,6216,6340,6392
988281,6236,6196,6316,6351
998046,6168,6143,6270,6293
1008789,6108,6123,6216,6239
1018554,5832,5880,6162,6189
1028320,5952,5964,6097,6122
1038086,5892,5932,6050,6091
1048828,5984,5975,6015,6069
1058593,5852,5818,5971,6015
1068359,5724,5760,5917,5949
1078125,5692,5653,5862,5889
1088867,5720,5665,5788,5798
1098632,5688,5679,5708,5712
1108398,5552,5535,5655,5685
1118164,5500,5475,5604,5639
1128906,5568,5569,5556,5597
1138671,5588,5558,5528,5581
1148437,5540,5517,5507,5567
1158203,5420,5453,5496,5564
1168945,5260,5324,5487,5554
