peak_index,sample_index,peak_time_s,peak_value
0,226,2.268554,9660.0
1,296,2.96875,9508.0
2,367,3.678711,10860.0
3,434,4.348632,10028.0
4,511,5.118164,9953.0
5,592,5.928711,10067.0
6,672,6.728515,9615.0
7,744,7.448242,9369.0
8,812,8.128906,9687.0
9,884,8.848632,10120.0
10,964,9.648437,10356.0
11,1062,10.628906,10692.0
12,1165,11.658203,10567.0
13,1263,12.638671,10328.0
14,1347,13.478515,9758.0
15,1419,14.198242,9967.0
16,1489,14.898437,10248.0
17,1562,15.628906,10453.0
18,1644,16.448242,10491.0
19,1739,17.398437,10595.0
20,1834,18.348632,10311.0
21,1919,19.198242,9904.0
22,2002,20.02832,10462.0
23,2088,20.888671,10878.0
24,2174,21.748046,10992.0
25,2258,22.588867,10782.0
26,2340,23.408203,10588.0
27,2416,24.168945,10710.0
28,2498,24.988281,11350.0
29,2588,25.888671,11776.0
30,2682,26.828125,11807.0
31,2772,27.728515,11429.0
32,2854,28.548828,11072.0
33,2930,29.308593,11601.0
34,3010,30.108398,11656.0
35,3091,30.918945,11256.0
36,3175,31.758789,10958.0
37,3250,32.508789,10180.0
38,3320,33.208007,10319.0
39,3391,33.918945,10760.0
40,3468,34.688476,10755.0
41,3559,35.598632,10802.0
42,3654,36.548828,10418.0
43,3738,37.388671,9861.0
44,3817,38.178711,10372.0
45,3897,38.978515,10487.0
46,3979,39.798828,10621.0
47,4067,40.678711,10716.0
48,4147,41.478515,10090.0
49,4222,42.228515,10558.0
50,4300,43.008789,11071.0
51,4384,43.848632,11373.0
52,4471,44.71875,11455.0
53,4555,45.558593,10993.0
54,4631,46.318359,11039.0
55,4707,47.078125,11733.0
56,4783,47.838867,11539.0
57,4859,48.598632,10933.0
58,4934,49.348632,10200.0
59,5006,50.068359,10031.0
60,5081,50.818359,10599.0
61,5162,51.628906,10822.0
62,5249,52.498046,10768.0
63,5335,53.358398,10345.0
64,5412,54.128906,9966.0
65,5488,54.888671,10485.0
66,5566,55.668945,10340.0
67,5646,56.46875,9922.0
68,5721,57.21875,9432.0
69,5793,57.938476,9358.0
70,5866,58.668945,9807.0
71,5943,59.438476,9818.0
