frequency_hz,psd_s2_per_hz
0.0,0.006747580628733188
0.01747,0.007535236754242091
0.03493,0.001402402087791757
0.0524,0.008032098051225288
0.06987,0.012791338526126243
0.08734,0.006183021966466898
0.1048,0.02645690943526294
0.12227,0.04357321093703883
0.13974,0.00061321108378077
0.15721,0.0065787031999608656
0.17467,0.0017464157959288823
0.19214,0.014506762338689175
0.20961,0.05690139275924338
0.22707,0.04576264819484501
0.24454,0.010383794216053814
0.26201,0.003906857399421585
0.27948,0.0005451067414017045
0.29694,3.3717226155939254e-05
0.31441,0.0001271089749961444
0.33188,0.0004631540002591613
0.34934,0.0002211812117209056
0.36681,0.00013046904946423498
0.38428,0.000957718836332192
0.40175,0.0008371646140939913
0.41921,3.928511176739174e-05
0.43668,0.00043622119409275487
0.45415,0.0007443852510412219
0.47162,0.0007335963110273743
0.48908,7.215812274358484e-05
0.50655,1.987737787234834e-05
0.52402,5.970297278014171e-05
0.54148,6.732141469692087e-05
0.55895,0.00022924186397638857
0.57642,0.00033758039261674817
0.59389,0.00021437608881307247
0.61135,5.492697808042041e-05
0.62882,2.8040423073172035e-05
0.64629,2.3832183403960454e-05
0.66376,1.5768466707114214e-05
0.68122,6.421763104248287e-06
0.69869,7.404388254574468e-06
0.71616,7.039269584563843e-06
0.73362,7.005547623574049e-06
0.75109,1.5950257997668844e-05
0.76856,3.2064420425193476e-05
0.78603,1.1284697031852251e-05
0.80349,1.6092280667700778e-06
0.82096,1.6740025964569784e-06
0.83843,2.0407340845674322e-06
0.8559,1.6167932590279698e-07
0.87336,1.2634832875008048e-07
0.89083,5.1767797245449345e-08
0.9083,5.5859099100003594e-09
0.92576,4.3968638794825975e-07
0.94323,5.862403380220939e-07
0.9607,2.4101544910395893e-07
0.97817,3.102447974320928e-08
0.99563,1.0493698525740348e-08
1.0131,3.402554576457017e-08
1.03057,8.175890213438017e-09
1.04803,1.7355692211852265e-08
1.0655,1.5216024149323394e-09
1.08297,3.6974189369096277e-09
1.10044,7.676276039876523e-09
1.1179,9.918503822599148e-09
1.13537,8.072245714133163e-09
1.15284,1.0253082311912478e-08
1.17031,1.0662759105610958e-08
1.18777,1.0795997901753149e-11
1.20524,6.196008299165782e-09
1.22271,6.171211492499314e-09
1.24017,3.990639929846648e-09
1.25764,4.78201600944459e-09
1.27511,1.1934114234279792e-09
1.29258,7.281205999757286e-11
1.31004,2.6091647219342333e-09
1.32751,1.865509281059854e-09
1.34498,8.86310122348761e-11
1.36245,3.234878706441369e-09
1.37991,6.41609373483265e-09
1.39738,2.531652538074544e-09
1.41485,4.827766771962332e-09
1.43231,9.7033019849697e-09
1.44978,3.8336544477169464e-09
1.46725,1.344550647753471e-08
1.48472,2.5701355286676065e-09
1.50218,8.496067788740394e-10
1.51965,1.7581756529813604e-09
1.53712,9.372996742523125e-09
1.55459,1.3117907249264201e-08
1.57205,6.250580866916507e-09
1.58952,1.5116000981998177e-09
1.60699,3.486353706081439e-09
1.62445,8.975044945561924e-09
1.64192,6.76209936260349e-10
1.65939,6.4432807398329e-09
1.67686,1.0187734774351845e-08
1.69432,5.244913827269395e-09
1.71179,3.0017842282306094e-09
1.72926,4.5212187731956364e-09
1.74672,1.8738442066834704e-09
1.76419,5.2659149085962114e-09
1.78166,1.3457238077029672e-08
1.79913,3.062554995076565e-08
1.81659,2.8222417688603478e-08
1.83406,9.827784499605949e-09
1.85153,1.0727152212831246e-09
1.869,2.4463356899088985e-09
1.88646,7.517913530102355e-09
1.90393,7.991039488073465e-09
1.9214,8.771553031328561e-09
1.93886,5.521640012814801e-09
1.95633,8.379238240125665e-10
1.9738,8.520420487814076e-09
1.99127,1.0795263512285946e-08
