START_CAPTURE
# duration_s: 180
# internal_rate_hz: 500
# output_rate_hz: 100
# filter1: 1-pole IIR alpha=0.715 (~100Hz cutoff)
# filter2: 2-pole Butterworth 10Hz Fs=500Hz
# filter3: 2-pole Butterworth 15Hz Fs=500Hz
time_us,raw,filtered_200hz,filtered_10hz,filtered_15hz
8789,5916,5848,601,1223
18555,5560,5607,2126,3623
28320,5676,5676,3660,5212
38086,5712,5666,4800,5849
48828,5676,5634,5484,5945
58594,5676,5615,5793,5836
68359,5660,5619,5876,5741
78125,5664,5653,5840,5685
88867,5560,5581,5769,5672
98633,5676,5684,5702,5678
108398,5792,5740,5654,5685
118164,5744,5723,5632,5702
128906,5464,5501,5631,5720
138672,5636,5657,5633,5721
148438,5756,5662,5635,5714
158203,5568,5568,5634,5704
168945,5528,5539,5626,5689
178711,5760,5706,5616,5676
188477,5644,5642,5622,5696
198242,5712,5713,5640,5728
208008,5516,5590,5662,5755
218750,5776,5760,5684,5778
228516,5824,5789,5726,5835
238281,5744,5770,5766,5872
248047,5856,5872,5786,5872
258789,5660,5704,5806,5888
268555,5780,5728,5801,5860
278320,5716,5684,5769,5803
288086,5664,5659,5737,5771
298828,5500,5565,5711,5757
308594,5528,5549,5681,5727
318359,5796,5780,5670,5739
328125,5696,5674,5684,5773
338867,5628,5609,5690,5774
348633,5816,5783,5693,5770
358398,5692,5697,5712,5800
368164,5640,5663,5738,5834
378906,5740,5692,5747,5825
388672,5880,5816,5721,5764
398438,5452,5448,5696,5735
408203,5632,5660,5656,5688
418945,5720,5737,5654,5724
428711,5800,5818,5680,5782
438477,5956,5929,5729,5856
448242,6412,6344,5806,5958
458008,6456,6421,5955,6169
468750,7088,7072,6162,6434
478516,7268,7295,6465,6821
488281,7804,7813,6833,7250
498047,8212,8223,7244,7691
508789,8444,8463,7670,8119
518555,8744,8662,8057,8455
528320,8428,8492,8359,8667
538086,8572,8547,8548,8742
548828,8476,8475,8628,8725
558594,8212,8232,8616,8637
568359,7928,8013,8526,8496
578125,7664,7722,8366,8290
588867,7832,7829,8176,8091
598633,7708,7747,7998,7942
608398,7348,7441,7846,7827
618164,7560,7539,7692,7680
628906,7348,7325,7547,7537
638672,7584,7517,7426,7440
648438,7328,7331,7367,7432
658203,7432,7378,7346,7451
668945,7216,7195,7324,7420
678711,7080,7109,7280,7346
688477,7052,7031,7223,7263
698242,6924,6908,7138,7150
708008,6532,6565,7033,7025
718750,6404,6396,6867,6801
728516,5916,5983,6660,6556
738281,5776,5820,6433,6316
748047,5552,5575,6195,6074
758789,5372,5368,5947,5823
768555,5388,5402,5724,5628
778320,5288,5286,5541,5484
788086,5400,5439,5411,5409
798828,5248,5282,5360,5427
808594,5340,5385,5346,5445
818359,5644,5592,5375,5501
828125,5684,5658,5435,5578
838867,5800,5746,5518,5672
848633,5640,5668,5601,5746
858398,5604,5620,5661,5778
868164,5812,5825,5703,5798
878906,5964,5908,5758,5864
888672,5532,5624,5799,5897
898438,5984,5908,5798,5858
908203,5788,5768,5785,5831
918945,5440,5504,5773,5825
928711,5684,5696,5749,5796
938477,5732,5764,5720,5764
948242,5608,5625,5707,5767
958008,5532,5597,5697,5765
968750,5528,5619,5692,5763
978516,5564,5589,5691,5765
988281,5580,5593,5686,5754
998047,5552,5561,5673,5733
1008789,5520,5536,5666,5730
1018555,5580,5605,5665,5737
1028320,5556,5569,5666,5740
1038086,5544,5523,5643,5691
1048828,5460,5497,5604,5637
1058594,5544,5561,5593,5652
1068359,5704,5674,5603,5688
1078125,5740,5743,5617,5708
1088867,5648,5670,5648,5751
1098633,5660,5681,5688,5799
1108398,5612,5614,5727,5834
1118164,5868,5820,5746,5832
1128906,5896,5864,5773,5861
1138672,5552,5568,5789,5867
1148438,5452,5523,5763,5805
1158203,5616,5636,5736,5776
1168945,5772,5790,5716,5766
1178711,5704,5711,5717,5791
1188477,5736,5761,5728,5816
1198242,5868,5867,5750,5848
1208008,5784,5787,5781,5883
1218750,5908,5861,5798,5886
1228516,5852,5822,5813,5896
1238281,5748,5800,5827,5908
1248047,5776,5759,5835,5908
1258789,5848,5821,5816,5866
1268555,5820,5834,5806,5865
1278320,5872,5879,5820,5905
1288086,5928,5898,5839,5931
1298828,5736,5777,5841,5918
1308594,5716,5724,5837,5903
1318359,5884,5869,5824,5883
1328125,5888,5847,5799,5843
1338867,5832,5798,5778,5829
1348633,5760,5786,5763,5822
1358398,5700,5717,5764,5841
1368164,5900,5900,5775,5863
1378906,6004,5990,5818,5935
1388672,6044,6070,5897,6051
1398438,6616,6582,6027,6229
1408203,7000,6963,6240,6517
1418945,7408,7378,6527,6873
1428711,7900,7851,6872,7268
1438477,8384,8303,7265,7696
1448242,8432,8400,7672,8102
1458008,8388,8459,8040,8426
1468750,8448,8471,8318,8607
1478516,8320,8364,8497,8686
1488281,8384,8402,8561,8645
1498047,8176,8188,8526,8529
1508789,7940,7938,8425,8385
1518555,7808,7848,8271,8205
1528320,7612,7642,8106,8047
1538086,7612,7621,7928,7874
1548828,7396,7427,7781,7767
1558594,7276,7311,7648,7653
1568359,7172,7209,7523,7534
1578125,7132,7196,7406,7421
1588867,7396,7395,7318,7355
1598633,7248,7227,7271,7342
1608398,6968,7035,7226,7298
1618164,6908,6963,7176,7236
1628906,6912,6949,7119,7166
1638672,6792,6755,7041,7061
1648438,6800,6738,6923,6905
1658203,6252,6282,6808,6790
1668945,6040,6073,6652,6602
1678711,5788,5788,6440,6334
1688477,5740,5705,6197,6064
1698242,5576,5530,5968,5851
1708008,5584,5549,5760,5674
1718750,5200,5201,5593,5549
1728516,5612,5518,5453,5440
1738281,5272,5310,5377,5415
1748047,5464,5501,5360,5452
1758789,5588,5583,5408,5554
1768555,5628,5601,5474,5627
1778320,5440,5495,5537,5673
1788086,5792,5752,5586,5697
1798828,5604,5652,5646,5761
1808594,5572,5629,5700,5809
1818359,5732,5801,5736,5830
1828125,5644,5728,5779,5878
1838867,5676,5723,5807,5896
1848633,5876,5844,5808,5872
1858398,5820,5847,5815,5884
1868164,5884,5864,5832,5915
1878906,5852,5833,5847,5932
1888672,5844,5806,5840,5904
1898438,5572,5591,5804,5837
1908203,5604,5641,5753,5773
1918945,5800,5780,5718,5755
1928711,5760,5707,5706,5770
1938477,5484,5539,5694,5765
1948242,5792,5750,5679,5743
1958008,5744,5755,5677,5750
1968750,5768,5731,5693,5782
1978516,5592,5587,5698,5775
1988281,5800,5759,5689,5752
1998047,5884,5863,5694,5769
2008789,5984,5904,5724,5822
2018555,5760,5733,5756,5857
2028320,5624,5629,5759,5833
2038086,5784,5780,5754,5816
2048828,5728,5764,5769,5849
2058594,5688,5728,5795,5890
2068359,5656,5668,5806,5889
2078125,5980,5958,5810,5884
2088867,5876,5870,5836,5928
2098633,5744,5780,5858,5949
2108398,5824,5823,5857,5927
2118164,5872,5889,5867,5945
2128906,5992,5959,5883,5969
2138672,5848,5849,5894,5976
2148438,5812,5776,5891,5959
2158203,5840,5835,5871,5923
2168945,5884,5860,5855,5909
2178711,5920,5901,5848,5914
2188477,5680,5774,5861,5949
2198242,5660,5687,5868,5951
2208008,5976,5962,5853,5916
2218750,5776,5805,5851,5917
2228516,5584,5671,5850,5922
2238281,5792,5770,5834,5892
2248047,5888,5867,5811,5863
2258789,5696,5688,5791,5843
2268555,5468,5541,5760,5805
2278320,5448,5514,5724,5766
2288086,5556,5557,5701,5754
2298828,5600,5605,5682,5742
2308594,5856,5812,5686,5768
2318359,5768,5845,5728,5849
2328125,5948,5926,5790,5925
2338867,6132,6108,5852,5986
2348633,6604,6563,5974,6160
2358398,6752,6759,6189,6464
2368164,7496,7425,6461,6795
2378906,7752,7747,6806,7201
2388672,8308,8242,7210,7651
